2022-03-24 15:29:10 DEBUG logging:38 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2022-03-24 15:29:10 DEBUG HibernatePersistenceProvider:88 - Located and parsed 1 persistence units; checking each
2022-03-24 15:29:10 DEBUG HibernatePersistenceProvider:96 - Checking persistence-unit [name=Server, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [Server]
2022-03-24 15:29:10 DEBUG ProviderChecker:85 - Persistence-unit [Server] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider]
2022-03-24 15:29:10 DEBUG LogHelper:102 - PersistenceUnitInfo [
	name: Server
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/micha/OneDrive/Pulpit/Studia/Semestr%20IV/Programowanie_JAVA/Projekt/Projekt_Przemek_Grzesiek_Michal/Serwer/target/classes
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		com.Kaczor.Kaluzinski.Kalarus.Serwer.Database.Aggrement
		com.Kaczor.Kaluzinski.Kalarus.Serwer.Database.Adresy
		com.Kaczor.Kaluzinski.Kalarus.Serwer.Database.Worker
		com.Kaczor.Kaluzinski.Kalarus.Database.Client
		com.Kaczor.Kaluzinski.Kalarus.Serwer.Database.Payment
		com.Kaczor.Kaluzinski.Kalarus.Serwer.Database.Trip
		com.Kaczor.Kaluzinski.Kalarus.Serwer.Database.Office
		com.Kaczor.Kaluzinski.Kalarus.Serwer.Database.AdminLogin]
	Mapping files names []
	Properties [
		javax.persistence.jdbc.driver: com.mysql.cj.jdbc.Driver
		javax.persistence.jdbc.password: 
		javax.persistence.jdbc.url: jdbc:mysql://localhost:3306/baza
		hibernate.hbm2ddl.auto: update
		javax.persistence.jdbc.user: root]
2022-03-24 15:29:10 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2022-03-24 15:29:10 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2022-03-24 15:29:10 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2022-03-24 15:29:10 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.6.5.Final
2022-03-24 15:29:10 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2022-03-24 15:29:10 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2022-03-24 15:29:10 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2022-03-24 15:29:10 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2022-03-24 15:29:10 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@2b02ba89
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@2b02ba89
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2b02ba89
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7b0c7518
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@69e0ec7a
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@645a86b4
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@6f874593
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@6f874593
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6f874593
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@69ea8d1e
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@69ea8d1e
2022-03-24 15:29:10 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@69ea8d1e
2022-03-24 15:29:11 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@50619bb6
2022-03-24 15:29:11 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@50619bb6
